ID de respuesta;Fecha;Hora;A1. Edad ;A2. Identidad de género;A2. Identidad de género  [Otro];A3. Nivel Estudio;A4. Nacionalidad y residencia;A4o. Nacionalidad y residencia [Otro];A5. Provincia de residencia ;A5a. País Extranjero;A5b. Provincia/estado Extranjero;A6. Ámbito Actividad;A6o. Ámbito Actividad [Otro];A7. Rol Principal;A7o. Rol Principal [Otro];A8. Rol Secundario;A8o. Rol Secundario [Otro];A9. Situación Laboral;A10. Años Experiencia
88;14-02-2026;11:13:43;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española residente en el extranjero.;;;Alemania;Berlin;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Autora integral;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;2-5 años
91;14-02-2026;12:36:31;de 45 a 54;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Granada;;;Instituciones y Gestión Cultural (Bibliotecas, museos, administración pública, eventos);;Promotora / Comisaria o gestora cultural;;Diseñadora gráfica;;Freelance / Por proyectos puntuales;Más de 15 años
93;14-02-2026;12:42:52;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Instituciones y Gestión Cultural (Bibliotecas, museos, administración pública, eventos);;Divulgadora / Crítica;;Otro;Bibliotecaria;Freelance / Por proyectos puntuales;2-5 años
94;14-02-2026;12:46:42;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Burgos;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Traductora;;Ninguno;;Freelance / Por proyectos puntuales;6-10 años
95;14-02-2026;13:14:27;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Otro;Correctora;Ninguno;;Autónoma con clientes habituales;2-5 años
96;14-02-2026;13:33:25;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Granada;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Rotulista;;Sin actividad remunerada en el sector;Menos de 2 años
101;14-02-2026;15:03:29;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Colorista;;Colorista;;Freelance / Por proyectos puntuales;2-5 años
102;14-02-2026;15:18:40;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Alicante;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Autora integral;;Autónoma con clientes habituales;2-5 años
105;14-02-2026;17:11:17;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Divulgadora / Crítica;;Promotora / Comisaria o gestora cultural;;Autónoma con clientes habituales;6-10 años
106;14-02-2026;17:30:09;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Autónoma con clientes habituales;2-5 años
108;14-02-2026;18:45:30;de 18 a 24;Mujer;;Bachillerato (Bachillerato LOGSE/LOE, BUP, COU, PREU);Nacionalidad española y residencia en España.;;Badajoz;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Guionista;;Sin actividad remunerada en el sector;2-5 años
109;14-02-2026;19:02:09;de 35 a 44;Mujer;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Málaga;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Guionista;;Dibujante / Ilustradora;;Freelance / Por proyectos puntuales;Más de 15 años
112;14-02-2026;21:06:59;de 65 a 74;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Otro;galega que vive na galiza e ao mesmo tempo son de todos os lugares;;;;Otro;editora de banda desenhada e doutros temas, activista cultural;Otro;tradutora editora promotora divulgadora;Otro;activista cultural;Sin actividad remunerada en el sector;6-10 años
117;14-02-2026;23:15:07;de 18 a 24;Persona no binaria;;Enseñanza Universitaria de Primer Ciclo o Grado (Diplomatura, Grado Universitario, Ingeniería/Arquitectura Técnica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Diseñadora gráfica;;Freelance / Por proyectos puntuales;6-10 años
118;14-02-2026;23:24:39;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Gerona;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Dibujante / Ilustradora;;Autora integral;;Autónoma con clientes habituales;Más de 15 años
120;15-02-2026;1:25:14;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Madrid;;;Creación y Producción Artística (Estudio propio, taller, autoedición).;;Autora integral;;Autora integral;;Sin actividad remunerada en el sector;2-5 años
121;15-02-2026;9:24:26;de 45 a 54;Mujer;;Formación Profesional de Grado Medio (Ciclos Formativos de Grado Medio, FP I, Oficialía Industrial);Nacionalidad española y residencia en España.;;Badajoz;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Guionista;;Ninguno;;Sin actividad remunerada en el sector;6-10 años
124;15-02-2026;11:16:34;de 35 a 44;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Islas Baleares;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Editora / Responsable editorial;;Editora / Responsable editorial;;Asalariada con contrato indefinido;6-10 años
125;15-02-2026;11:54:42;de 25 a 34;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Sevilla;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Rotulista;;Divulgadora / Crítica;;Autónoma con clientes habituales;6-10 años
126;15-02-2026;11:43:31;de 45 a 54;Mujer;;Enseñanza Universitaria de Segundo o Tercer Ciclo (Licenciatura, Máster Oficial, Doctorado, Especialidad médica);Nacionalidad española y residencia en España.;;Barcelona;;;Docencia e Investigación (Universidades, escuelas de arte, talleres).;;Traductora;;Otro;Profesora;Freelance / Por proyectos puntuales;11-15 años
130;15-02-2026;13:45:05;de 25 a 34;Mujer;;Formación Profesional de Grado Superior (Ciclos Formativos de Grado Superior, FP II, Maestría Industrial);Nacionalidad española y residencia en España.;;Madrid;;;Industria Editorial y Publicación (Trabajo para editoriales, prensa o medios).;;Maquetista;;Rotulista;;Autónoma con clientes habituales;11-15 años
